number,age,adviser,fum_s,dur_s
294,29,Adviser Three,290000,5
295,29,Adviser Three,290000,5
296,29,Adviser Three,290000,5
297,29,Adviser Three,290000,5
298,29,Adviser Three,290000,5
299,29,Adviser Three,290000,5
300,29,Adviser Three,290000,5
301,30,Adviser One,300000,5
302,30,Adviser One,300000,5
303,30,Adviser One,300000,5
304,30,Adviser One,300000,5
305,30,Adviser One,300000,5
306,30,Adviser One,300000,5
307,30,Adviser One,300000,5
308,30,Adviser One,300000,5
309,30,Adviser One,300000,5
310,30,Adviser One,300000,5
311,30,Adviser Two,300000,5
312,30,Adviser Two,300000,5
313,30,Adviser Two,300000,5
314,30,Adviser Two,300000,5
315,30,Adviser Two,300000,5
316,30,Adviser Two,300000,5
317,30,Adviser Two,300000,5
318,30,Adviser Two,300000,5
319,30,Adviser Two,300000,5
320,30,Adviser Two,300000,5
321,30,Adviser Three,300000,5
322,30,Adviser Three,300000,5
323,30,Adviser Three,300000,5
324,30,Adviser Three,300000,5
325,30,Adviser Three,300000,5
326,30,Adviser Three,300000,5
327,30,Adviser Three,300000,5
328,30,Adviser Three,300000,5
329,30,Adviser Three,300000,5
330,30,Adviser Three,300000,5
331,31,Adviser One,310000,5
332,31,Adviser One,310000,5
333,31,Adviser One,310000,5
334,31,Adviser One,310000,5
335,31,Adviser One,310000,5
336,31,Adviser One,310000,5
337,31,Adviser One,310000,5
338,31,Adviser One,310000,5
339,31,Adviser One,310000,5
340,31,Adviser One,310000,5
341,31,Adviser Two,310000,5
342,31,Adviser Two,310000,5
343,31,Adviser Two,310000,5
344,31,Adviser Two,310000,5
345,31,Adviser Two,310000,5
346,31,Adviser Two,310000,5
347,31,Adviser Two,310000,5
348,31,Adviser Two,310000,5
349,31,Adviser Two,310000,5
350,31,Adviser Two,310000,5
351,31,Adviser Three,310000,5
352,31,Adviser Three,310000,5
353,31,Adviser Three,310000,5
354,31,Adviser Three,310000,5
355,31,Adviser Three,310000,5
356,31,Adviser Three,310000,5
357,31,Adviser Three,310000,5
358,31,Adviser Three,310000,5
359,31,Adviser Three,310000,5
360,31,Adviser Three,310000,5
361,32,Adviser One,320000,5
362,32,Adviser One,320000,5
363,32,Adviser One,320000,5
364,32,Adviser One,320000,5
365,32,Adviser One,320000,5
366,32,Adviser One,320000,5
367,32,Adviser One,320000,5
368,32,Adviser One,320000,5
369,32,Adviser One,320000,5
370,32,Adviser One,320000,5
371,32,Adviser Two,320000,5
372,32,Adviser Two,320000,5
373,32,Adviser Two,320000,5
374,32,Adviser Two,320000,5
375,32,Adviser Two,320000,5
376,32,Adviser Two,320000,5
377,32,Adviser Two,320000,5
378,32,Adviser Two,320000,5
379,32,Adviser Two,320000,5
380,32,Adviser Two,320000,5
381,32,Adviser Three,320000,5
382,32,Adviser Three,320000,5
383,32,Adviser Three,320000,5
384,32,Adviser Three,320000,5
385,32,Adviser Three,320000,5
386,32,Adviser Three,320000,5
387,32,Adviser Three,320000,5
388,32,Adviser Three,320000,5
389,32,Adviser Three,320000,5
390,32,Adviser Three,320000,5
391,33,Adviser One,330000,5
392,33,Adviser One,330000,5
393,33,Adviser One,330000,5
394,33,Adviser One,330000,5
395,33,Adviser One,330000,5
396,33,Adviser One,330000,5
397,33,Adviser One,330000,5
398,33,Adviser One,330000,5
399,33,Adviser One,330000,5
400,33,Adviser One,330000,5
401,33,Adviser Two,330000,5
402,33,Adviser Two,330000,5
403,33,Adviser Two,330000,5
404,33,Adviser Two,330000,5
405,33,Adviser Two,330000,5
406,33,Adviser Two,330000,5
407,33,Adviser Two,330000,5
408,33,Adviser Two,330000,5
409,33,Adviser Two,330000,5
410,33,Adviser Two,330000,5
411,33,Adviser Three,330000,5
412,33,Adviser Three,330000,5
413,33,Adviser Three,330000,5
414,33,Adviser Three,330000,5
415,33,Adviser Three,330000,5
416,33,Adviser Three,330000,5
417,33,Adviser Three,330000,5
418,33,Adviser Three,330000,5
419,33,Adviser Three,330000,5
420,33,Adviser Three,330000,5
421,34,Adviser One,340000,5
422,34,Adviser One,340000,5
423,34,Adviser One,340000,5
424,34,Adviser One,340000,5
425,34,Adviser One,340000,5
426,34,Adviser One,340000,5
427,34,Adviser One,340000,5
428,34,Adviser One,340000,5
429,34,Adviser One,340000,5
430,34,Adviser One,340000,5
431,34,Adviser Two,340000,5
432,34,Adviser Two,340000,5
433,34,Adviser Two,340000,5
434,34,Adviser Two,340000,5
435,34,Adviser Two,340000,5
436,34,Adviser Two,340000,5
437,34,Adviser Two,340000,5
438,34,Adviser Two,340000,5
439,34,Adviser Two,340000,5
440,34,Adviser Two,340000,5
441,34,Adviser Three,340000,5
442,34,Adviser Three,340000,5
443,34,Adviser Three,340000,5
444,34,Adviser Three,340000,5
445,34,Adviser Three,340000,5
446,34,Adviser Three,340000,5
447,34,Adviser Three,340000,5
448,34,Adviser Three,340000,5
449,34,Adviser Three,340000,5
450,34,Adviser Three,340000,5
451,35,Adviser One,350000,5
452,35,Adviser One,350000,5
453,35,Adviser One,350000,5
454,35,Adviser One,350000,5
455,35,Adviser One,350000,5
456,35,Adviser One,350000,5
457,35,Adviser One,350000,5
458,35,Adviser One,350000,5
459,35,Adviser One,350000,5
460,35,Adviser One,350000,5
461,35,Adviser Two,350000,5
462,35,Adviser Two,350000,5
463,35,Adviser Two,350000,5
464,35,Adviser Two,350000,5
465,35,Adviser Two,350000,5
466,35,Adviser Two,350000,5
467,35,Adviser Two,350000,5
468,35,Adviser Two,350000,5
469,35,Adviser Two,350000,5
470,35,Adviser Two,350000,5
471,35,Adviser Three,350000,5
472,35,Adviser Three,350000,5
473,35,Adviser Three,350000,5
474,35,Adviser Three,350000,5
475,35,Adviser Three,350000,5
476,35,Adviser Three,350000,5
477,35,Adviser Three,350000,5
478,35,Adviser Three,350000,5
479,35,Adviser Three,350000,5
480,35,Adviser Three,350000,5
481,36,Adviser One,360000,5
482,36,Adviser One,360000,5
483,36,Adviser One,360000,5
484,36,Adviser One,360000,5
485,36,Adviser One,360000,5
486,36,Adviser One,360000,5
487,36,Adviser One,360000,5
488,36,Adviser One,360000,5
489,36,Adviser One,360000,5
490,36,Adviser One,360000,5
491,36,Adviser Two,360000,5
492,36,Adviser Two,360000,5
493,36,Adviser Two,360000,5
494,36,Adviser Two,360000,5
495,36,Adviser Two,360000,5
496,36,Adviser Two,360000,5
497,36,Adviser Two,360000,5
498,36,Adviser Two,360000,5
499,36,Adviser Two,360000,5
500,36,Adviser Two,360000,5
501,36,Adviser Three,360000,5
502,36,Adviser Three,360000,5
503,36,Adviser Three,360000,5
504,36,Adviser Three,360000,5
505,36,Adviser Three,360000,5
506,36,Adviser Three,360000,5
507,36,Adviser Three,360000,5
508,36,Adviser Three,360000,5
509,36,Adviser Three,360000,5
510,36,Adviser Three,360000,5
511,37,Adviser One,370000,5
512,37,Adviser One,370000,5
513,37,Adviser One,370000,5
514,37,Adviser One,370000,5
515,37,Adviser One,370000,5
516,37,Adviser One,370000,5
517,37,Adviser One,370000,5
518,37,Adviser One,370000,5
519,37,Adviser One,370000,5
520,37,Adviser One,370000,5
521,37,Adviser Two,370000,5
522,37,Adviser Two,370000,5
523,37,Adviser Two,370000,5
524,37,Adviser Two,370000,5
525,37,Adviser Two,370000,5
526,37,Adviser Two,370000,5
527,37,Adviser Two,370000,5
528,37,Adviser Two,370000,5
529,37,Adviser Two,370000,5
530,37,Adviser Two,370000,5
531,37,Adviser Three,370000,5
532,37,Adviser Three,370000,5
533,37,Adviser Three,370000,5
534,37,Adviser Three,370000,5
535,37,Adviser Three,370000,5
536,37,Adviser Three,370000,5
537,37,Adviser Three,370000,5
538,37,Adviser Three,370000,5
539,37,Adviser Three,370000,5
540,37,Adviser Three,370000,5
541,38,Adviser One,380000,5
542,38,Adviser One,380000,5
543,38,Adviser One,380000,5
544,38,Adviser One,380000,5
545,38,Adviser One,380000,5
546,38,Adviser One,380000,5
547,38,Adviser One,380000,5
548,38,Adviser One,380000,5
549,38,Adviser One,380000,5
550,38,Adviser One,380000,5
551,38,Adviser Two,380000,5
552,38,Adviser Two,380000,5
553,38,Adviser Two,380000,5
554,38,Adviser Two,380000,5
555,38,Adviser Two,380000,5
556,38,Adviser Two,380000,5
557,38,Adviser Two,380000,5
558,38,Adviser Two,380000,5
559,38,Adviser Two,380000,5
560,38,Adviser Two,380000,5
561,38,Adviser Three,380000,5
562,38,Adviser Three,380000,5
563,38,Adviser Three,380000,5
564,38,Adviser Three,380000,5
565,38,Adviser Three,380000,5
566,38,Adviser Three,380000,5
567,38,Adviser Three,380000,5
568,38,Adviser Three,380000,5
569,38,Adviser Three,380000,5
570,38,Adviser Three,380000,5
571,39,Adviser One,390000,5
572,39,Adviser One,390000,5
573,39,Adviser One,390000,5
574,39,Adviser One,390000,5
575,39,Adviser One,390000,5
576,39,Adviser One,390000,5
577,39,Adviser One,390000,5
578,39,Adviser One,390000,5
579,39,Adviser One,390000,5
580,39,Adviser One,390000,5
581,39,Adviser Two,390000,5
582,39,Adviser Two,390000,5
583,39,Adviser Two,390000,5
584,39,Adviser Two,390000,5
585,39,Adviser Two,390000,5
586,39,Adviser Two,390000,5
587,39,Adviser Two,390000,5
588,39,Adviser Two,390000,5
589,39,Adviser Two,390000,5
590,39,Adviser Two,390000,5
591,39,Adviser Three,390000,5
592,39,Adviser Three,390000,5
593,39,Adviser Three,390000,5
594,39,Adviser Three,390000,5
595,39,Adviser Three,390000,5
596,39,Adviser Three,390000,5
597,39,Adviser Three,390000,5
598,39,Adviser Three,390000,5
599,39,Adviser Three,390000,5
600,39,Adviser Three,390000,5
601,40,Adviser One,400000,5
602,40,Adviser One,400000,5
603,40,Adviser One,400000,5
604,40,Adviser One,400000,5
605,40,Adviser One,400000,5
606,40,Adviser One,400000,5
607,40,Adviser One,400000,5
608,40,Adviser One,400000,5
609,40,Adviser One,400000,5
610,40,Adviser One,400000,5
611,40,Adviser Two,400000,5
612,40,Adviser Two,400000,5
613,40,Adviser Two,400000,5
614,40,Adviser Two,400000,5
615,40,Adviser Two,400000,5
616,40,Adviser Two,400000,5
617,40,Adviser Two,400000,5
618,40,Adviser Two,400000,5
619,40,Adviser Two,400000,5
620,40,Adviser Two,400000,5
621,40,Adviser Three,400000,5
622,40,Adviser Three,400000,5
623,40,Adviser Three,400000,5
624,40,Adviser Three,400000,5
625,40,Adviser Three,400000,5
626,40,Adviser Three,400000,5
627,40,Adviser Three,400000,5
628,40,Adviser Three,400000,5
629,40,Adviser Three,400000,5
630,40,Adviser Three,400000,5
631,41,Adviser One,410000,5
632,41,Adviser One,410000,5
633,41,Adviser One,410000,5
634,41,Adviser One,410000,5
635,41,Adviser One,410000,5
636,41,Adviser One,410000,5
637,41,Adviser One,410000,5
638,41,Adviser One,410000,5
639,41,Adviser One,410000,5
640,41,Adviser One,410000,5
641,41,Adviser Two,410000,5
642,41,Adviser Two,410000,5
643,41,Adviser Two,410000,5
644,41,Adviser Two,410000,5
645,41,Adviser Two,410000,5
646,41,Adviser Two,410000,5
647,41,Adviser Two,410000,5
648,41,Adviser Two,410000,5
649,41,Adviser Two,410000,5
650,41,Adviser Two,410000,5
651,41,Adviser Three,410000,5
652,41,Adviser Three,410000,5
653,41,Adviser Three,410000,5
654,41,Adviser Three,410000,5
655,41,Adviser Three,410000,5
656,41,Adviser Three,410000,5
657,41,Adviser Three,410000,5
658,41,Adviser Three,410000,5
659,41,Adviser Three,410000,5
660,41,Adviser Three,410000,5
661,42,Adviser One,420000,5
662,42,Adviser One,420000,5
663,42,Adviser One,420000,5
664,42,Adviser One,420000,5
665,42,Adviser One,420000,5
666,42,Adviser One,420000,5
667,42,Adviser One,420000,5
668,42,Adviser One,420000,5
669,42,Adviser One,420000,5
670,42,Adviser One,420000,5
671,42,Adviser Two,420000,5
672,42,Adviser Two,420000,5
673,42,Adviser Two,420000,5
674,42,Adviser Two,420000,5
675,42,Adviser Two,420000,5
676,42,Adviser Two,420000,5
677,42,Adviser Two,420000,5
678,42,Adviser Two,420000,5
679,42,Adviser Two,420000,5
680,42,Adviser Two,420000,5
681,42,Adviser Three,420000,5
682,42,Adviser Three,420000,5
683,42,Adviser Three,420000,5
684,42,Adviser Three,420000,5
685,42,Adviser Three,420000,5
686,42,Adviser Three,420000,5
687,42,Adviser Three,420000,5
688,42,Adviser Three,420000,5
689,42,Adviser Three,420000,5
690,42,Adviser Three,420000,5
691,43,Adviser One,430000,5
692,43,Adviser One,430000,5
693,43,Adviser One,430000,5
694,43,Adviser One,430000,5
695,43,Adviser One,430000,5
696,43,Adviser One,430000,5
697,43,Adviser One,430000,5
698,43,Adviser One,430000,5
699,43,Adviser One,430000,5
700,43,Adviser One,430000,5
701,43,Adviser Two,430000,5
702,43,Adviser Two,430000,5
703,43,Adviser Two,430000,5
704,43,Adviser Two,430000,5
705,43,Adviser Two,430000,5
706,43,Adviser Two,430000,5
707,43,Adviser Two,430000,5
708,43,Adviser Two,430000,5
709,43,Adviser Two,430000,5
710,43,Adviser Two,430000,5
711,43,Adviser Three,430000,5
712,43,Adviser Three,430000,5
713,43,Adviser Three,430000,5
714,43,Adviser Three,430000,5
715,43,Adviser Three,430000,5
716,43,Adviser Three,430000,5
717,43,Adviser Three,430000,5
718,43,Adviser Three,430000,5
719,43,Adviser Three,430000,5
720,43,Adviser Three,430000,5
721,44,Adviser One,440000,5
722,44,Adviser One,440000,5
723,44,Adviser One,440000,5
724,44,Adviser One,440000,5
725,44,Adviser One,440000,5
726,44,Adviser One,440000,5
727,44,Adviser One,440000,5
728,44,Adviser One,440000,5
729,44,Adviser One,440000,5
730,44,Adviser One,440000,5
731,44,Adviser Two,440000,5
732,44,Adviser Two,440000,5
733,44,Adviser Two,440000,5
734,44,Adviser Two,440000,5
735,44,Adviser Two,440000,5
736,44,Adviser Two,440000,5
737,44,Adviser Two,440000,5
738,44,Adviser Two,440000,5
739,44,Adviser Two,440000,5
740,44,Adviser Two,440000,5
741,44,Adviser Three,440000,5
742,44,Adviser Three,440000,5
743,44,Adviser Three,440000,5
744,44,Adviser Three,440000,5
745,44,Adviser Three,440000,5
746,44,Adviser Three,440000,5
747,44,Adviser Three,440000,5
748,44,Adviser Three,440000,5
749,44,Adviser Three,440000,5
750,44,Adviser Three,440000,5
751,45,Adviser One,450000,5
752,45,Adviser One,450000,5
753,45,Adviser One,450000,5
754,45,Adviser One,450000,5
755,45,Adviser One,450000,5
756,45,Adviser One,450000,5
757,45,Adviser One,450000,5
758,45,Adviser One,450000,5
759,45,Adviser One,450000,5
760,45,Adviser One,450000,5
761,45,Adviser Two,450000,5
762,45,Adviser Two,450000,5
763,45,Adviser Two,450000,5
764,45,Adviser Two,450000,5
765,45,Adviser Two,450000,5
766,45,Adviser Two,450000,5
767,45,Adviser Two,450000,5
768,45,Adviser Two,450000,5
769,45,Adviser Two,450000,5
770,45,Adviser Two,450000,5
771,45,Adviser Three,450000,5
772,45,Adviser Three,450000,5
773,45,Adviser Three,450000,5
774,45,Adviser Three,450000,5
775,45,Adviser Three,450000,5
776,45,Adviser Three,450000,5
777,45,Adviser Three,450000,5
778,45,Adviser Three,450000,5
779,45,Adviser Three,450000,5
780,45,Adviser Three,450000,5
781,46,Adviser One,460000,5
782,46,Adviser One,460000,5
783,46,Adviser One,460000,5
784,46,Adviser One,460000,5
785,46,Adviser One,460000,5
786,46,Adviser One,460000,5
787,46,Adviser One,460000,5
788,46,Adviser One,460000,5
789,46,Adviser One,460000,5
790,46,Adviser One,460000,5
791,46,Adviser Two,460000,5
792,46,Adviser Two,460000,5
793,46,Adviser Two,460000,5
794,46,Adviser Two,460000,5
795,46,Adviser Two,460000,5
796,46,Adviser Two,460000,5
797,46,Adviser Two,460000,5
798,46,Adviser Two,460000,5
799,46,Adviser Two,460000,5
800,46,Adviser Two,460000,5
801,46,Adviser Three,460000,5
802,46,Adviser Three,460000,5
803,46,Adviser Three,460000,5
804,46,Adviser Three,460000,5
805,46,Adviser Three,460000,5
806,46,Adviser Three,460000,5
807,46,Adviser Three,460000,5
808,46,Adviser Three,460000,5
809,46,Adviser Three,460000,5
810,46,Adviser Three,460000,5
811,47,Adviser One,470000,5
812,47,Adviser One,470000,5
813,47,Adviser One,470000,5
814,47,Adviser One,470000,5
815,47,Adviser One,470000,5
816,47,Adviser One,470000,5
817,47,Adviser One,470000,5
818,47,Adviser One,470000,5
819,47,Adviser One,470000,5
820,47,Adviser One,470000,5
821,47,Adviser Two,470000,5
822,47,Adviser Two,470000,5
823,47,Adviser Two,470000,5
824,47,Adviser Two,470000,5
825,47,Adviser Two,470000,5
826,47,Adviser Two,470000,5
827,47,Adviser Two,470000,5
828,47,Adviser Two,470000,5
829,47,Adviser Two,470000,5
830,47,Adviser Two,470000,5
831,47,Adviser Three,470000,5
832,47,Adviser Three,470000,5
833,47,Adviser Three,470000,5
834,47,Adviser Three,470000,5
835,47,Adviser Three,470000,5
836,47,Adviser Three,470000,5
837,47,Adviser Three,470000,5
838,47,Adviser Three,470000,5
839,47,Adviser Three,470000,5
840,47,Adviser Three,470000,5
841,48,Adviser One,480000,5
842,48,Adviser One,480000,5
843,48,Adviser One,480000,5
844,48,Adviser One,480000,5
845,48,Adviser One,480000,5
846,48,Adviser One,480000,5
847,48,Adviser One,480000,5
848,48,Adviser One,480000,5
849,48,Adviser One,480000,5
850,48,Adviser One,480000,5
851,48,Adviser Two,480000,5
852,48,Adviser Two,480000,5
853,48,Adviser Two,480000,5
854,48,Adviser Two,480000,5
855,48,Adviser Two,480000,5
856,48,Adviser Two,480000,5
857,48,Adviser Two,480000,5
858,48,Adviser Two,480000,5
859,48,Adviser Two,480000,5
860,48,Adviser Two,480000,5
861,48,Adviser Three,480000,5
862,48,Adviser Three,480000,5
863,48,Adviser Three,480000,5
864,48,Adviser Three,480000,5
865,48,Adviser Three,480000,5
866,48,Adviser Three,480000,5
867,48,Adviser Three,480000,5
868,48,Adviser Three,480000,5
869,48,Adviser Three,480000,5
870,48,Adviser Three,480000,5
871,49,Adviser One,490000,5
872,49,Adviser One,490000,5
873,49,Adviser One,490000,5
874,49,Adviser One,490000,5
875,49,Adviser One,490000,5
876,49,Adviser One,490000,5
877,49,Adviser One,490000,5
878,49,Adviser One,490000,5
879,49,Adviser One,490000,5
880,49,Adviser One,490000,5
881,49,Adviser Two,490000,5
882,49,Adviser Two,490000,5
883,49,Adviser Two,490000,5
884,49,Adviser Two,490000,5
885,49,Adviser Two,490000,5
886,49,Adviser Two,490000,5
887,49,Adviser Two,490000,5
888,49,Adviser Two,490000,5
889,49,Adviser Two,490000,5
890,49,Adviser Two,490000,5
891,49,Adviser Three,490000,5
